xVariable,yVariable,xValue,yValue,Average Error
BarChartType,ModelName,1,VGG19,0.0954839296875
BarChartType,ModelName,1,ResNet50,0.11318899770624999
BarChartType,ModelName,2,VGG19,0.109580591225
BarChartType,ModelName,2,ResNet50,0.12486497561875001
BarChartType,ModelName,3,VGG19,0.10857279959999999
BarChartType,ModelName,3,ResNet50,0.1320284610625
BarChartType,ModelName,4,VGG19,0.11361467255624999
BarChartType,ModelName,4,ResNet50,0.12481821798750001
BarChartType,ModelName,5,VGG19,0.1166619972125
BarChartType,ModelName,5,ResNet50,0.1380417432875
BarChartType,SamplingTarget,1,Ratio,0.11794521748125
BarChartType,SamplingTarget,1,Height,0.0907277099125
BarChartType,SamplingTarget,2,Ratio,0.1218189341375
BarChartType,SamplingTarget,2,Height,0.11262663270625
BarChartType,SamplingTarget,3,Ratio,0.1220423454
BarChartType,SamplingTarget,3,Height,0.1185589152625
BarChartType,SamplingTarget,4,Ratio,0.12236816748125001
BarChartType,SamplingTarget,4,Height,0.1160647230625
BarChartType,SamplingTarget,5,Ratio,0.11958256663125
BarChartType,SamplingTarget,5,Height,0.13512117386875
BarChartType,SamplingMethod,1,IID,0.05505134375
BarChartType,SamplingMethod,1,COV,0.03557480115
BarChartType,SamplingMethod,1,ADV,0.1264165314625
BarChartType,SamplingMethod,1,OOD,0.200303178425
BarChartType,SamplingMethod,2,IID,0.0657856495875
BarChartType,SamplingMethod,2,COV,0.042455728262500006
BarChartType,SamplingMethod,2,ADV,0.1443392128125
BarChartType,SamplingMethod,2,OOD,0.216310543025
BarChartType,SamplingMethod,3,IID,0.0652578103
BarChartType,SamplingMethod,3,COV,0.05063179958749999
BarChartType,SamplingMethod,3,ADV,0.146632516125
BarChartType,SamplingMethod,3,OOD,0.2186803953125
BarChartType,SamplingMethod,4,IID,0.06865301655
BarChartType,SamplingMethod,4,COV,0.046101255562500006
BarChartType,SamplingMethod,4,ADV,0.15176317379999998
BarChartType,SamplingMethod,4,OOD,0.210348335175
BarChartType,SamplingMethod,5,IID,0.0717510900875
BarChartType,SamplingMethod,5,COV,0.05131428582499999
BarChartType,SamplingMethod,5,ADV,0.14470576623750003
BarChartType,SamplingMethod,5,OOD,0.24163633884999997
BarChartType,DownsamplingLevel,1,2,0.0331080676875
BarChartType,DownsamplingLevel,1,4,0.07352285678750001
BarChartType,DownsamplingLevel,1,8,0.12230507726249999
BarChartType,DownsamplingLevel,1,16,0.18840985305
BarChartType,DownsamplingLevel,2,2,0.0377483644375
BarChartType,DownsamplingLevel,2,4,0.08683412720000001
BarChartType,DownsamplingLevel,2,8,0.13603490969999998
BarChartType,DownsamplingLevel,2,16,0.20827373235
BarChartType,DownsamplingLevel,3,2,0.0387618458125
BarChartType,DownsamplingLevel,3,4,0.086434665375
BarChartType,DownsamplingLevel,3,8,0.1405358004375
BarChartType,DownsamplingLevel,3,16,0.2154702097
BarChartType,DownsamplingLevel,4,2,0.0369764492625
BarChartType,DownsamplingLevel,4,4,0.0886156068625
BarChartType,DownsamplingLevel,4,8,0.1394880041375
BarChartType,DownsamplingLevel,4,16,0.21178572082500002
BarChartType,DownsamplingLevel,5,2,0.0474604973375
BarChartType,DownsamplingLevel,5,4,0.1009327796
BarChartType,DownsamplingLevel,5,8,0.1474347257125
BarChartType,DownsamplingLevel,5,16,0.21357947835000002
ModelName,BarChartType,VGG19,1,0.0954839296875
ModelName,BarChartType,VGG19,2,0.109580591225
ModelName,BarChartType,VGG19,3,0.10857279959999999
ModelName,BarChartType,VGG19,4,0.11361467255624999
ModelName,BarChartType,VGG19,5,0.1166619972125
ModelName,BarChartType,ResNet50,1,0.11318899770624999
ModelName,BarChartType,ResNet50,2,0.12486497561875001
ModelName,BarChartType,ResNet50,3,0.1320284610625
ModelName,BarChartType,ResNet50,4,0.12481821798750001
ModelName,BarChartType,ResNet50,5,0.1380417432875
ModelName,SamplingTarget,VGG19,Ratio,0.1103001921325
ModelName,SamplingTarget,VGG19,Height,0.10726540398
ModelName,SamplingTarget,ResNet50,Ratio,0.13120270032
ModelName,SamplingTarget,ResNet50,Height,0.121974257945
ModelName,SamplingMethod,VGG19,IID,0.056112460419999996
ModelName,SamplingMethod,VGG19,COV,0.03687051068
ModelName,SamplingMethod,VGG19,ADV,0.13283970757
ModelName,SamplingMethod,VGG19,OOD,0.20930851355500002
ModelName,SamplingMethod,ResNet50,IID,0.07448710369
ModelName,SamplingMethod,ResNet50,COV,0.05356063747499999
ModelName,SamplingMethod,ResNet50,ADV,0.152703172605
ModelName,SamplingMethod,ResNet50,OOD,0.22560300276
ModelName,DownsamplingLevel,VGG19,2,0.031492006435
ModelName,DownsamplingLevel,VGG19,4,0.07783639334499999
ModelName,DownsamplingLevel,VGG19,8,0.127721383045
ModelName,DownsamplingLevel,VGG19,16,0.19808140940000002
ModelName,DownsamplingLevel,ResNet50,2,0.04613008338
ModelName,DownsamplingLevel,ResNet50,4,0.09669962098500001
ModelName,DownsamplingLevel,ResNet50,8,0.146598023855
ModelName,DownsamplingLevel,ResNet50,16,0.21692618830999996
SamplingTarget,BarChartType,Ratio,1,0.11794521748125
SamplingTarget,BarChartType,Ratio,2,0.1218189341375
SamplingTarget,BarChartType,Ratio,3,0.1220423454
SamplingTarget,BarChartType,Ratio,4,0.12236816748125001
SamplingTarget,BarChartType,Ratio,5,0.11958256663125
SamplingTarget,BarChartType,Height,1,0.0907277099125
SamplingTarget,BarChartType,Height,2,0.11262663270625
SamplingTarget,BarChartType,Height,3,0.1185589152625
SamplingTarget,BarChartType,Height,4,0.1160647230625
SamplingTarget,BarChartType,Height,5,0.13512117386875
SamplingTarget,ModelName,Ratio,VGG19,0.1103001921325
SamplingTarget,ModelName,Ratio,ResNet50,0.13120270032
SamplingTarget,ModelName,Height,VGG19,0.10726540398
SamplingTarget,ModelName,Height,ResNet50,0.121974257945
SamplingTarget,SamplingMethod,Ratio,IID,0.052532471245000004
SamplingTarget,SamplingMethod,Ratio,COV,0.042947905225
SamplingTarget,SamplingMethod,Ratio,ADV,0.12835139832
SamplingTarget,SamplingMethod,Ratio,OOD,0.259174010115
SamplingTarget,SamplingMethod,Height,IID,0.078067092865
SamplingTarget,SamplingMethod,Height,COV,0.047483242929999996
SamplingTarget,SamplingMethod,Height,ADV,0.157191481855
SamplingTarget,SamplingMethod,Height,OOD,0.17573750619999998
SamplingTarget,DownsamplingLevel,Ratio,2,0.033650288675
SamplingTarget,DownsamplingLevel,Ratio,4,0.08710489793000001
SamplingTarget,DownsamplingLevel,Ratio,8,0.13194625761
SamplingTarget,DownsamplingLevel,Ratio,16,0.23030434068999997
SamplingTarget,DownsamplingLevel,Height,2,0.04397180114
SamplingTarget,DownsamplingLevel,Height,4,0.08743111639999998
SamplingTarget,DownsamplingLevel,Height,8,0.14237314929
SamplingTarget,DownsamplingLevel,Height,16,0.18470325702
SamplingMethod,BarChartType,IID,1,0.05505134375
SamplingMethod,BarChartType,IID,2,0.0657856495875
SamplingMethod,BarChartType,IID,3,0.0652578103
SamplingMethod,BarChartType,IID,4,0.06865301655
SamplingMethod,BarChartType,IID,5,0.0717510900875
SamplingMethod,BarChartType,COV,1,0.03557480115
SamplingMethod,BarChartType,COV,2,0.042455728262500006
SamplingMethod,BarChartType,COV,3,0.05063179958749999
SamplingMethod,BarChartType,COV,4,0.046101255562500006
SamplingMethod,BarChartType,COV,5,0.05131428582499999
SamplingMethod,BarChartType,ADV,1,0.1264165314625
SamplingMethod,BarChartType,ADV,2,0.1443392128125
SamplingMethod,BarChartType,ADV,3,0.146632516125
SamplingMethod,BarChartType,ADV,4,0.15176317379999998
SamplingMethod,BarChartType,ADV,5,0.14470576623750003
SamplingMethod,BarChartType,OOD,1,0.200303178425
SamplingMethod,BarChartType,OOD,2,0.216310543025
SamplingMethod,BarChartType,OOD,3,0.2186803953125
SamplingMethod,BarChartType,OOD,4,0.210348335175
SamplingMethod,BarChartType,OOD,5,0.24163633884999997
SamplingMethod,ModelName,IID,VGG19,0.056112460419999996
SamplingMethod,ModelName,IID,ResNet50,0.07448710369
SamplingMethod,ModelName,COV,VGG19,0.03687051068
SamplingMethod,ModelName,COV,ResNet50,0.05356063747499999
SamplingMethod,ModelName,ADV,VGG19,0.13283970757
SamplingMethod,ModelName,ADV,ResNet50,0.152703172605
SamplingMethod,ModelName,OOD,VGG19,0.20930851355500002
SamplingMethod,ModelName,OOD,ResNet50,0.22560300276
SamplingMethod,SamplingTarget,IID,Ratio,0.052532471245000004
SamplingMethod,SamplingTarget,IID,Height,0.078067092865
SamplingMethod,SamplingTarget,COV,Ratio,0.042947905225
SamplingMethod,SamplingTarget,COV,Height,0.047483242929999996
SamplingMethod,SamplingTarget,ADV,Ratio,0.12835139832
SamplingMethod,SamplingTarget,ADV,Height,0.157191481855
SamplingMethod,SamplingTarget,OOD,Ratio,0.259174010115
SamplingMethod,SamplingTarget,OOD,Height,0.17573750619999998
SamplingMethod,DownsamplingLevel,IID,2,0.024250381300000002
SamplingMethod,DownsamplingLevel,IID,4,0.039333029230000004
SamplingMethod,DownsamplingLevel,IID,8,0.06129300416
SamplingMethod,DownsamplingLevel,IID,16,0.13632271353000003
SamplingMethod,DownsamplingLevel,COV,2,0.017282513340000003
SamplingMethod,DownsamplingLevel,COV,4,0.02179779431
SamplingMethod,DownsamplingLevel,COV,8,0.035676382279999995
SamplingMethod,DownsamplingLevel,COV,16,0.10610560638
SamplingMethod,DownsamplingLevel,ADV,2,0.03406832131
SamplingMethod,DownsamplingLevel,ADV,4,0.08542004116000002
SamplingMethod,DownsamplingLevel,ADV,8,0.18369310012
SamplingMethod,DownsamplingLevel,ADV,16,0.26790429776
SamplingMethod,DownsamplingLevel,OOD,2,0.07964296368
SamplingMethod,DownsamplingLevel,OOD,4,0.20252116395999997
SamplingMethod,DownsamplingLevel,OOD,8,0.26797632724
SamplingMethod,DownsamplingLevel,OOD,16,0.31968257775000003
DownsamplingLevel,BarChartType,2,1,0.0331080676875
DownsamplingLevel,BarChartType,2,2,0.0377483644375
DownsamplingLevel,BarChartType,2,3,0.0387618458125
DownsamplingLevel,BarChartType,2,4,0.0369764492625
DownsamplingLevel,BarChartType,2,5,0.0474604973375
DownsamplingLevel,BarChartType,4,1,0.07352285678750001
DownsamplingLevel,BarChartType,4,2,0.08683412720000001
DownsamplingLevel,BarChartType,4,3,0.086434665375
DownsamplingLevel,BarChartType,4,4,0.0886156068625
DownsamplingLevel,BarChartType,4,5,0.1009327796
DownsamplingLevel,BarChartType,8,1,0.12230507726249999
DownsamplingLevel,BarChartType,8,2,0.13603490969999998
DownsamplingLevel,BarChartType,8,3,0.1405358004375
DownsamplingLevel,BarChartType,8,4,0.1394880041375
DownsamplingLevel,BarChartType,8,5,0.1474347257125
DownsamplingLevel,BarChartType,16,1,0.18840985305
DownsamplingLevel,BarChartType,16,2,0.20827373235
DownsamplingLevel,BarChartType,16,3,0.2154702097
DownsamplingLevel,BarChartType,16,4,0.21178572082500002
DownsamplingLevel,BarChartType,16,5,0.21357947835000002
DownsamplingLevel,ModelName,2,VGG19,0.031492006435
DownsamplingLevel,ModelName,2,ResNet50,0.04613008338
DownsamplingLevel,ModelName,4,VGG19,0.07783639334499999
DownsamplingLevel,ModelName,4,ResNet50,0.09669962098500001
DownsamplingLevel,ModelName,8,VGG19,0.127721383045
DownsamplingLevel,ModelName,8,ResNet50,0.146598023855
DownsamplingLevel,ModelName,16,VGG19,0.19808140940000002
DownsamplingLevel,ModelName,16,ResNet50,0.21692618830999996
DownsamplingLevel,SamplingTarget,2,Ratio,0.033650288675
DownsamplingLevel,SamplingTarget,2,Height,0.04397180114
DownsamplingLevel,SamplingTarget,4,Ratio,0.08710489793000001
DownsamplingLevel,SamplingTarget,4,Height,0.08743111639999998
DownsamplingLevel,SamplingTarget,8,Ratio,0.13194625761
DownsamplingLevel,SamplingTarget,8,Height,0.14237314929
DownsamplingLevel,SamplingTarget,16,Ratio,0.23030434068999997
DownsamplingLevel,SamplingTarget,16,Height,0.18470325702
DownsamplingLevel,SamplingMethod,2,IID,0.024250381300000002
DownsamplingLevel,SamplingMethod,2,COV,0.017282513340000003
DownsamplingLevel,SamplingMethod,2,ADV,0.03406832131
DownsamplingLevel,SamplingMethod,2,OOD,0.07964296368
DownsamplingLevel,SamplingMethod,4,IID,0.039333029230000004
DownsamplingLevel,SamplingMethod,4,COV,0.02179779431
DownsamplingLevel,SamplingMethod,4,ADV,0.08542004116000002
DownsamplingLevel,SamplingMethod,4,OOD,0.20252116395999997
DownsamplingLevel,SamplingMethod,8,IID,0.06129300416
DownsamplingLevel,SamplingMethod,8,COV,0.035676382279999995
DownsamplingLevel,SamplingMethod,8,ADV,0.18369310012
DownsamplingLevel,SamplingMethod,8,OOD,0.26797632724
DownsamplingLevel,SamplingMethod,16,IID,0.13632271353000003
DownsamplingLevel,SamplingMethod,16,COV,0.10610560638
DownsamplingLevel,SamplingMethod,16,ADV,0.26790429776
DownsamplingLevel,SamplingMethod,16,OOD,0.31968257775000003
